Root name,Tags
"Ion channel (ligand-gated, open)","ion channel, ligand gated ion channel, open channel, ion, channel, receptor channel, neurotransmitter receptor, ligand binding, ion transport, channel gating, synaptic transmission, cell membrane, electrophysiology, ion flux, neurobiology, receptor activation, channel schematic"
"Ion channel (ligand-gated, closed)","ion channel, ligand gated ion channel, closed channel, receptor channel, inactive state, ligand unbound, ion transport, channel gating, synaptic transmission, cell membrane, electrophysiology, ion flux, neurobiology, channel schematic"
"Ion channel (mechanically-gated, open)","ion channel, mechanically gated ion channel, open channel, mechanosensitive channel, stretch activated, pressure response, ion transport, cell membrane, electrophysiology, ion flux, sensory biology, mechanotransduction, channel gating, channel schematic"
"Ion channel (mechanically-gated, closed)","ion channel, mechanically gated ion channel, closed channel, mechanosensitive channel, inactive state, no stimulus, ion transport, cell membrane, electrophysiology, ion flux, sensory biology, mechanotransduction, channel gating, channel schematic"
Ion channel (always open),"ion channel, leak channel, always open channel, constitutively active, passive ion transport, membrane permeability, resting potential, ion flux, cell membrane, electrophysiology, potassium leak channel, channel schematic, basal conductance"
Receptor tyrosine kinase (VEGFR),"VEGFR, receptor tyrosine kinase, RTK, vascular endothelial growth factor receptor, VEGF receptor, angiogenesis, endothelial cell signaling, ligand binding, dimerization, phosphorylation, signal transduction, cell surface receptor, growth factor receptor, cell signaling, kinase activity"
Receptor tyrosine kinase (inactive),"receptor tyrosine kinase, RTK, inactive receptor, monomer, no ligand, unphosphorylated, cell surface receptor, growth factor receptor, signal transduction, kinase receptor, resting state, membrane receptor, cell signaling, receptor schematic"
Receptor tyrosine kinase (activated),"receptor tyrosine kinase, RTK, activated receptor, dimerization, autophosphorylation, phosphorylated receptor, ligand bound, growth factor receptor, signal transduction, kinase activity, cell surface receptor, cell signaling, downstream signaling, receptor schematic"
Receptor tyrosine kinase (insulin receptor),"insulin receptor, receptor tyrosine kinase, RTK, insulin signaling, glucose uptake, metabolic signaling, ligand binding, autophosphorylation, signal transduction, cell surface receptor, kinase activity, cell signaling, metabolic pathway, receptor schematic"
"Immunoglobulin (IgA, dimer)","iga, IgA, immunoglobulin A, antibody, dimer, secretory IgA, mucosal immunity, antibody structure, Y shaped antibody, heavy chain light chain, antigen binding, immune defense, adaptive immunity, immunology, plasma cell, antibody schematic"
"Immunoglobulin (IgM, pentamer variant)","igm, IgM, immunoglobulin M, antibody, pentamer variant, multimeric antibody, early immune response, primary response, antibody structure, antigen binding, complement activation, adaptive immunity, immunology, plasma cell, antibody schematic"
"Immunoglobulin (IgM, pentamer)","igm, IgM, immunoglobulin M, antibody, pentamer, multimeric antibody, primary immune response, early immunity, antibody structure, antigen binding, complement activation, adaptive immunity, immunology, plasma cell, antibody schematic"
"B cell receptor (IgM, monomer)","b cell receptor, BCR, IgM receptor, membrane bound antibody, monomer, naive B cell, antigen recognition, adaptive immunity, immunology, cell surface receptor, B cell activation, signaling, membrane immunoglobulin, immune response, receptor schematic"
B cell receptor (IgG),"b cell receptor, BCR, IgG receptor, membrane bound antibody, immunoglobulin G, antigen recognition, adaptive immunity, immunology, cell surface receptor, B cell activation, memory B cell, signaling, immune response, receptor schematic"
"B cell receptor (IgG, flexible)","b cell receptor, BCR, IgG flexible, hinge region, antibody flexibility, membrane bound antibody, antigen binding, adaptive immunity, immunology, cell surface receptor, B cell activation, conformational change, signaling, receptor schematic"
"B cell receptor (IgG, straight)","b cell receptor, BCR, IgG straight, rigid conformation, membrane bound antibody, antigen binding, adaptive immunity, immunology, cell surface receptor, B cell activation, signaling, receptor schematic, structural conformation"
B cell receptor (IgE) ,"b cell receptor, BCR, IgE receptor, membrane bound antibody, immunoglobulin E, allergy, hypersensitivity, antigen recognition, adaptive immunity, immunology, cell surface receptor, B cell activation, immune response, receptor schematic"
B cell receptor (IgA) ,"b cell receptor, BCR, IgA receptor, membrane bound antibody, immunoglobulin A, mucosal immunity, antigen recognition, adaptive immunity, immunology, cell surface receptor, B cell activation, immune response, receptor schematic"
T cell receptor (simple groove),"t cell receptor, TCR, simple groove, antigen recognition, peptide MHC, adaptive immunity, immunology, cell surface receptor, T cell activation, immune synapse, lymphocyte, receptor schematic, simplified model"
T cell receptor (detailed groove),"t cell receptor, TCR, detailed groove, antigen binding cleft, peptide MHC interaction, adaptive immunity, immunology, cell surface receptor, T cell activation, immune synapse, lymphocyte, structural detail, receptor schematic"
Cell culture incubator,"cell culture incubator, incubator, CO2 incubator, cell culture, cell growth, sterile environment, temperature control, humidity control, CO2 regulation, laboratory equipment, tissue culture, cell biology, microbiology, lab equipment, in vitro culture"
Flow cytometer,"flow cytometer, flow cytometry, FACS, cell analysis, cell sorting, fluorescence, single cell analysis, immunology, cell population, laser detection, fluorophore, cell labeling, lab equipment, cytometry, data acquisition"
PCR machine,"pcr machine, PCR, thermocycler, polymerase chain reaction, DNA amplification, molecular biology, DNA replication, primers, denaturation annealing extension, lab equipment, genetics, nucleic acid amplification"
RT-qPCR machine,"rt qpcr machine, RT-qPCR, real time PCR, quantitative PCR, gene expression, RNA quantification, cDNA, fluorescence detection, molecular biology, nucleic acid amplification, thermocycler, lab equipment, transcriptomics"
Aspergillus (2D),"aspergillus, aspergillus 2D, fungus, mold, filamentous fungus, hyphae, spores, conidia, fungal structure, microbiology, mycology, pathogen, environmental fungus, schematic, diagram"
Aspergillus (3D),"aspergillus, aspergillus 3D, fungus, mold, filamentous fungus, hyphae, conidiophore, spores, conidia, fungal structure, microbiology, mycology, pathogen, 3D model, structural biology"
"Candida albicans (2D, hyphae)","candida albicans, candida, hyphae, fungal hyphae, filamentous form, fungus, pathogenic yeast, microbiology, mycology, infection, morphology, fungal structure, immunology, schematic, diagram"
"Candida albicans (3D, hyphae)","candida albicans, candida, hyphae, fungal hyphae, filamentous form, fungus, pathogenic yeast, microbiology, mycology, infection, morphology, fungal structure, immunology, 3D model, structural biology"
"Candida albicans (2D, yeast)","candida albicans, candida, yeast form, budding yeast, fungus, unicellular fungus, pathogenic yeast, microbiology, mycology, infection, morphology, fungal structure, immunology, schematic, diagram"
"Candida albicans (3D, yeast)","candida albicans, candida, yeast form, budding yeast, fungus, unicellular fungus, pathogenic yeast, microbiology, mycology, infection, morphology, fungal structure, immunology, 3D model, structural biology"
E\.coli (2D),"E. coli, coli, e, escherichia coli, bacteria, bacterium, gram negative bacteria, rod, rod shaped bacteria, microbiology, prokaryote, cell structure, pathogen, gut bacteria, bacillus, schematic, 2D, diagram"
E\.coli (3D),"E. coli, e, coli,  escherichia coli, bacteria, bacterium, gram negative bacteria, rod shaped bacteria, rod, microbiology, prokaryote, cell structure, pathogen, gut bacteria, bacillus, schematic, 3D, diagram"
Shape (circle),"circle, round shape, spherical, simple shape, schematic, sphere, diagram element, icon, symbol, geometric shape, cell representation, generic shape, minimal design"
Shape (rod),"rod, rod shape, bacillus shape, elongated shape, bacillus, cylindrical, simple shape, schematic, diagram element, icon, symbol, geometric shape, cell representation"
"Shape (rod, short)","short rod, rod, short, bacillus, short bacillus, small rod shape, stubby rod, cylindrical shape, simple shape, schematic, diagram element, icon, symbol, geometric shape"
Shape (zigzag circle),"zigzag circle, irregular circle, spiky circle, rough edge circle, circle, abstract shape, schematic, diagram element, icon, symbol, geometric shape, stylized shape"
"Virus (2D, enveloped, DNA)","virus, DNA virus, enveloped virus, encapsulated virus, herpes virus, herpesvirus, viral envelope, nucleocapsid, double stranded DNA virus, virology, pathogen, infection, viral structure, schematic, 2D, diagram"
"Virus (3D, enveloped, DNA) ","virus, DNA virus, enveloped virus, encapsulated virus, herpes virus, herpesvirus, viral envelope, nucleocapsid, double stranded DNA virus, virology, pathogen, infection, viral structure, 3D model, structural biology"
"Virus (2D, enveloped, RNA) ","virus, RNA virus, enveloped virus, coronavirus, adenovirus, viral envelope, nucleocapsid, single stranded RNA virus, virology, pathogen, infection, viral structure, schematic, 2D, diagram"
"Virus (3D, enveloped, RNA) ","virus, RNA virus, enveloped virus, coronavirus, adenovirus, viral envelope, nucleocapsid, single stranded RNA virus, virology, pathogen, infection, viral structure, 3D model, structural biology"
Staphylococcus (2D),"staphylococcus, staph, staphylococcus aureus, aureus, bacteria, cocci, gram positive bacteria, spherical bacteria, clustered cocci, microbiology, prokaryote, pathogen, skin bacteria, infection, bacterial structure, schematic, 2D, diagram"
Staphylococcus (3D),"staphylococcus, staph, staphylococcus aureus, aureus, bacteria, cocci, gram positive bacteria, spherical bacteria, clustered cocci, microbiology, prokaryote, pathogen, skin bacteria, infection, bacterial structure, 3D, structural biology"
"Parasite (plasmodium, merozoite, 2D)","malaria parasite, merozoite, malaria,, plasmodium, plasmodium falciparum, parasite, protozoa, intracellular parasite, red blood cell invasion, erythrocyte invasion, infectious stage, life cycle, microbiology, parasitology, pathogen, infection, schematic, 2D, diagram"
"Parasite (plasmodium, merozoite, 3D)","malaria parasite, merozoite, malaria,, plasmodium, plasmodium falciparum, parasite, protozoa, intracellular parasite, red blood cell invasion, erythrocyte invasion, infectious stage, life cycle, microbiology, parasitology, pathogen, infection, schematic, 3D, diagram"
"Parasite (plasmodium, sporozoite, 2D)","malaria parasite, sporozoite, malaria, plasmodium, plasmodium falciparum, parasite, protozoa, mosquito transmission, liver infection, infectious stage, elongated form, life cycle, microbiology, parasitology, pathogen, infection, schematic, 2D, diagram"
"Parasite (plasmodium, sporozoite, 3D)","malaria parasite, sporozoite, malaria, plasmodium, plasmodium falciparum, parasite, protozoa, mosquito transmission, liver infection, infectious stage, elongated form, life cycle, microbiology, parasitology, pathogen, infection, schematic, 3D, diagram"
